,Year,Day,Month,Rates
600,1976,29,Dec,11.25
601,1976,5,Jan,11.0
602,1977,19,Jan,10.75
603,1977,26,Jan,10.5
604,1977,2,Feb,10.0
605,1977,9,Feb,9.5
606,1977,1,Mar,9.25
607,1977,8,Mar,9.0
608,1977,26,Apr,10.5
609,1977,24,May,11.5
610,1977,13,Sep,13.0
611,1977,7,Oct,15.0
612,1977,22,Nov,14.75
613,1977,20,Dec,14.5
614,1977,29,Dec,14.25
615,1977,10,Jan,14.0
616,1978,24,Jan,13.25
617,1978,31,Jan,12.25
618,1978,3,Feb,12.0
619,1978,10,Mar,11.0
620,1978,21,Mar,10.5
621,1978,31,Mar,9.5
622,1978,12,Apr,9.25
623,1978,18,Apr,9.0
624,1978,25,Apr,8.75
625,1978,2,May,8.25
626,1978,16,May,8.0
627,1978,8,Aug,7.5
628,1978,15,Aug,7.0
629,1978,12,Sep,6.5
630,1978,19,Sep,6.0
631,1978,10,Oct,5.5
632,1978,17,Oct,5.0
633,1978,28,Nov,7.0
634,1978,9,Jan,6.5
635,1979,12,Apr,7.5
636,1979,8,May,8.75
637,1979,15,May,9.0
638,1979,8,Jun,10.0
639,1979,9,Nov,12.5
640,1979,8,Feb,14.0
641,1980,1,Mar,13.0
642,1980,5,Apr,12.0
643,1980,13,Jun,14.0
644,1980,15,Nov,17.0
645,1980,3,Jul,16.0
646,1981,25,Nov,14.0
647,1981,11,Mar,12.0
648,1981,25,Aug,12.6875
649,1982,15,Sep,14.0
650,1982,12,Oct,15.0
651,1982,28,Oct,15.125
652,1982,6,Nov,15.0625
653,1982,9,Nov,14.625
654,1982,25,Nov,14.5625
655,1982,4,Dec,14.375
656,1982,18,Jan,14.3125
657,1983,22,Feb,13.8125
658,1983,25,Feb,13.625
659,1983,10,Mar,13.25
660,1983,16,Apr,13.125
661,1983,19,Apr,13.0
662,1983,20,Apr,13.125
663,1983,8,Jun,12.625
664,1983,9,Jul,12.5
665,1983,12,Jul,12.25
666,1983,13,Jul,12.125
667,1983,21,Jul,12.0625
668,1983,26,Jul,11.9375
669,1983,28,Jul,11.8125
670,1983,29,Jul,11.75
671,1983,30,Jul,11.625
672,1983,2,Aug,11.5625
673,1983,4,Aug,11.5
674,1983,16,Aug,11.375
675,1983,17,Aug,11.25
676,1983,24,Aug,11.125
677,1983,25,Aug,11.0
678,1983,26,Aug,10.875
679,1983,27,Aug,10.625
680,1983,27,Sep,10.5
681,1983,28,Sep,10.375
682,1983,29,Sep,10.25
683,1983,30,Sep,10.125
684,1983,12,Oct,9.625
685,1983,1,Nov,9.375
686,1983,2,Nov,9.125
687,1983,26,Nov,10.0
688,1983,12,Jan,11.0
689,1984,15,Mar,10.5625
690,1984,13,Apr,10.3125
691,1984,14,Apr,10.0625
692,1984,13,Jun,9.8125
693,1984,14,Jun,9.5625
694,1984,9,Aug,9.4375
695,1984,10,Aug,9.5625
696,1984,3,Oct,9.0625
697,1984,7,Mar,8.8125
698,1985,14,Mar,8.5625
699,1985,10,may,9.0625
700,1985,29,Jun,8.875
701,1985,6,Jul,10.0
702,1985,11,Jul,12.0
703,1985,8,Aug,11.5
704,1985,9,Aug,11.0
705,1985,16,Aug,10.75
706,1985,17,Aug,10.5
707,1985,5,Nov,10.0
708,1985,19,Nov,9.75
709,1985,23,Nov,9.5
710,1985,14,Jan,11.875
711,1986,28,Jan,13.875
712,1986,20,Mar,13.375
713,1986,28,Mar,12.875
714,1986,19,Apr,12.375
715,1986,11,Jul,11.875
716,1986,26,Jul,11.375
717,1986,15,Jan,12.375
718,1987,19,Mar,11.375
719,1987,11,Apr,10.875
720,1987,18,Apr,10.375
721,1987,23,May,9.875
722,1987,15,Oct,10.875
723,1987,9,Mar,10.375
724,1988,18,Mar,9.875
725,1988,28,Apr,9.375
726,1988,8,May,8.875
727,1988,6,Aug,9.875
728,1988,23,Oct,9.375
729,1988,4,Nov,8.875
730,1988,3,Dec,8.375
731,1988,1,Feb,8.875
732,1989,17,Mar,8.375
733,1989,8,Apr,7.875
734,1989,17,May,7.375
735,1989,3,Jun,7.875
736,1989,10,Jun,8.375
737,1989,24,Jun,8.875
738,1989,7,Jul,9.875
739,1989,21,Jul,10.375
740,1989,8,Aug,10.875
741,1989,25,Aug,11.875
742,1989,25,Nov,12.875
743,1989,25,May,13.75
744,1990,31,Aug,13.8438
745,1990,4,Sep,13.875
746,1990,8,Sep,13.75
747,1990,6,Oct,14.875
748,1990,8,Oct,13.875
749,1991,13,Feb,13.375
750,1992,27,Feb,12.875
751,1992,22,Mar,12.375
752,1992,12,Apr,11.875
753,1992,24,May,11.375
754,1992,12,Jul,10.875
755,1992,4,Sep,10.375
756,1992,5,May,9.875
757,1993,22,Sep,8.875
758,1993,16,Oct,7.875
759,1993,13,Nov,6.875
760,1993,26,Jan,5.875
761,1994,23,Nov,5.375
762,1994,8,Feb,5.125
763,1995,12,Sep,5.625
764,1995,7,Dec,6.125
765,1995,2,Feb,6.625
766,1996,13,Dec,6.375
767,1996,18,Jan,6.125
768,1997,6,May,6.25
769,1998,6,Jun,6.5
770,1998,10,Jul,6.75
771,1998,7,Aug,7.0
772,1998,6,Nov,7.25
773,1998,4,Jun,7.5
774,1999,8,Oct,7.25
775,1999,5,Nov,6.75
776,1999,10,Dec,6.25
777,1999,7,Jan,6.0
778,2000,4,Feb,5.5
779,2000,8,Apr,5.25
780,2000,10,Jun,5.0
781,2000,8,Sep,5.25
782,2000,4,Nov,5.5
783,2000,13,Jan,5.75
784,2001,10,Feb,6.0
785,2001,8,Feb,5.75
786,2003,5,Apr,5.5
787,2003,10,May,5.25
788,2003,2,Aug,5.0
789,2003,18,Sep,4.75
790,2003,4,Oct,4.5
791,2003,8,Nov,4.0
792,2003,6,Feb,3.75
793,2004,10,Jul,3.5
794,2004,6,Nov,3.75
795,2004,5,Feb,4.0
796,2005,6,May,4.25
797,2005,10,Jun,4.5
798,2005,5,Aug,4.75
799,2005,4,Aug,4.5
800,2006,3,Aug,4.75
801,2007,9,Nov,5.0
802,2007,11,Jan,5.25
803,2008,10,May,5.5
804,2008,5,July,5.75
805,2008,6,Dec,5.5
806,2008,7,Feb,5.25
807,2009,10,April,5.0
808,2009,8,Oct,4.5
809,2009,6,Nov,3.0
810,2009,4,Dec,2.0
811,2009,8,Jan,1.5
812,2016,5,Feb,1.0
813,2016,5,Mar,0.5
814,2016,4,Aug,0.25
